timestamp,gasUsed,gasPrice,blockNumber
1727617667,0,14957537704,20856692
1727617883,0,14800000000,20856710
1727617895,0,14835968422,20856711
1727617907,0,17874159840,20856712
1727617943,0,14200000000,20856714
1727617979,0,17500000000,20856717
1727618015,0,17516352375,20856720
1727618027,0,12903878429,20856721
1727618039,0,15634301371,20856722
1727618063,0,14353387138,20856724
1727618087,0,11897708206,20856726
1727618087,0,14673802899,20856726
1727618135,0,13480494891,20856730
1727618147,0,15884922580,20856731
1727618159,0,13637596802,20856732
1727618195,0,13076520118,20856735
1727618219,0,13424052232,20856737
1727618231,0,11421645706,20856738
1727618255,0,13218025174,20856740
1727618255,0,25269258684,20856740
1727618351,0,12174859653,20856748
1727618423,0,11821176186,20856754
1727618471,0,12762918618,20856758
1727618483,0,13047909686,20856759
1727618507,0,13048074287,20856761
1727618555,0,13855430916,20856765
1727618567,0,13855254530,20856766
1727618615,0,11954944577,20856770
1727618615,0,11954944577,20856770
1727618651,0,12256651672,20856773
1727618663,0,15066491282,20856774
1727618675,0,11921055427,20856775
1727618699,0,70993400831,20856777
1727618699,0,10836179755,20856777
1727618723,0,10634740255,20856779
1727618783,0,11462225116,20856784
1727618819,0,11431195303,20856787
1727618819,0,11431195303,20856787
1727618927,0,9309265652,20856796
1727619047,0,8426704505,20856806
1727619059,0,9026340913,20856807
1727619167,0,11141207082,20856816
1727619179,0,9677456638,20856817
1727619263,0,8441072367,20856824
1727619287,0,9640729027,20856826
1727619311,0,10075838857,20856828
1727619323,0,9600000000,20856829
1727619323,0,9831267209,20856829
1727619347,0,8261175041,20856831
1727619503,0,9053208122,20856844
1727619515,0,23959911343,20856845
1727619515,0,10314668379,20856845
1727619527,0,9704035538,20856846
1727619647,0,8748912588,20856856
1727619671,0,9534834900,20856858
1727619671,0,8600000000,20856858
1727619707,0,8844563792,20856861
1727619707,0,7717218514,20856861
1727619731,0,8521733764,20856863
1727619767,0,8747943424,20856866
1727619779,0,7304676424,20856867
1727619791,0,8284543424,20856868
1727619851,0,9940423046,20856873
1727619887,0,8406592735,20856876
1727619911,0,7967708211,20856878
1727619911,0,8026675288,20856878
1727619935,0,9139869766,20856880
1727619947,0,9184132187,20856881
1727619947,0,9201494254,20856881
1727619971,0,8471615595,20856883
1727619971,0,8733275666,20856883
1727619983,0,9582644324,20856884
1727620079,0,8290259897,20856892
1727620091,0,9024035096,20856893
1727620091,0,9724035096,20856893
1727620115,0,8749891448,20856895
1727620127,0,8975245099,20856896
1727620163,0,8646905464,20856899
1727620163,0,8941370320,20856899
1727620175,0,8753618073,20856900
1727620211,0,7588732219,20856903
1727620235,0,8643760638,20856905
1727620247,0,7589495733,20856906
1727620259,0,8794753905,20856907
1727620271,0,79916304841,20856908
1727620271,0,8462696250,20856908
1727620271,0,8662696250,20856908
1727620295,0,21886555160,20856910
1727620295,0,8474238666,20856910
1727620319,0,9200000000,20856912
1727620415,0,8694978878,20856920
1727620415,0,7228001571,20856920
1727620415,0,8176890093,20856920
1727620427,0,8050587466,20856921
1727620427,0,8349475988,20856921
1727620439,0,8229310606,20856922
1727620439,0,7930422084,20856922
1727620439,0,8212293889,20856922
1727620451,0,8132190815,20856923
1727620451,0,7819951840,20856923
1727620463,0,8156152168,20856924
1727620487,0,19614223111,20856926
1727620499,0,8308460710,20856927
1727620499,0,8338460711,20856927
1727620511,0,8223860559,20856928
1727620511,0,37452816613,20856928
1727620511,0,9023860559,20856928
1727620523,0,8488654429,20856929
1727620571,0,8711847742,20856933
1727620583,0,8729683750,20856934
1727620631,0,6849992036,20856938
1727620643,0,16674890694,20856939
1727620751,0,9237199802,20856948
1727620763,0,9358017968,20856949
1727620787,0,14569580710,20856951
1727620787,0,9431747624,20856951
1727620811,0,10339311451,20856953
1727620811,0,8344311451,20856953
1727620823,0,9312953952,20856954
1727620823,0,9312953952,20856954
1727620859,0,9118786782,20856957
1727620907,0,14610153837,20856961
1727620919,0,9243564781,20856962
1727620943,0,8802729336,20856964
1727621015,0,13950558258,20856970
1727621039,0,11753575026,20856972
1727621039,0,10303575026,20856972
1727621111,0,12303083278,20856978
1727621231,0,12132992057,20856987
1727621267,0,12309209604,20856990
1727621327,0,21662749831,20856995
1727621363,0,12290980641,20856998
1727621387,0,11402617764,20857000
1727621387,0,9936642513,20857000
1727621459,0,11646427286,20857006
1727621471,0,11053626495,20857007
1727621483,0,12212531468,20857008
1727621483,0,12212531468,20857008
1727621507,0,32038808570,20857010
1727621579,0,13232458126,20857016
1727621723,0,13254814696,20857028
1727621735,0,13134612701,20857029
1727621807,0,12756661557,20857035
1727621807,0,12457958917,20857035
1727621819,0,13675663803,20857036
1727621831,0,29662582902,20857037
1727621843,0,14929301735,20857038
1727621891,0,25522759183,20857042
1727621891,0,13843089617,20857042
1727621927,0,66643473538,20857045
1727622011,0,16145004106,20857052
1727622059,0,16000000000,20857056
1727622143,0,19506988451,20857063
1727622263,0,17897366587,20857073
1727622263,0,20444546016,20857073
1727622299,0,27894732009,20857076
1727622311,0,19356160477,20857077
1727622371,0,37163982884,20857082
1727622383,0,18157034979,20857083
1727622383,0,18157034979,20857083
1727622395,0,16162467240,20857084
1727622467,0,16312962620,20857090
1727622527,0,16006102572,20857095
1727622539,0,17989461275,20857096
1727622563,0,28522524364,20857098
1727622575,0,16658206190,20857099
1727622611,0,14918178556,20857102
1727622623,0,14237092750,20857103
1727622659,0,16655679790,20857106
1727622671,0,17474061649,20857107
1727622671,0,83976108605,20857107
1727622707,0,13332572864,20857110
1727622755,0,15359626506,20857114
1727622767,0,17665813548,20857115
1727622779,0,13611551630,20857116
1727622791,0,13717118745,20857117
1727622827,0,14339872537,20857120
1727622839,0,14611930150,20857121
1727622863,0,15716488270,20857123
1727622863,0,30268482259,20857123
1727622875,0,12400591882,20857124
1727622887,0,13007297553,20857125
1727622899,0,38805192766,20857126
1727622911,0,13239701102,20857127
1727622911,0,139664089613,20857127
1727622923,0,13280209181,20857128
1727622995,0,45523096004,20857134
1727623019,0,13679109926,20857136
1727623019,0,14619109925,20857136
1727623019,0,12680109925,20857136
1727623091,0,48158823735,20857142
1727623103,0,16323525864,20857143
1727623127,0,29250101638,20857145
1727623151,0,106187743262,20857147
1727623151,0,11967158944,20857147
1727623175,0,9697687537,20857149
1727623187,0,10156974374,20857150
1727623271,0,11858831003,20857157
1727623283,0,10667848716,20857158
1727623307,0,10012120449,20857160
1727623355,0,12825314263,20857164
1727623355,0,41761077136,20857164
1727623391,0,9281527139,20857167
1727623403,0,13574646082,20857168
1727623415,0,11220311679,20857169
1727623427,0,11091918645,20857170
1727623475,0,11043328992,20857174
1727623499,0,18294500694,20857176
1727623511,0,8499439306,20857177
1727623523,0,9578170321,20857178
1727623631,0,56718154586,20857187
1727623643,0,60839964082,20857188
1727623643,0,24238923541,20857188
1727623655,0,285800486616,20857189
1727623667,0,8073371008,20857190
1727623667,0,8073371008,20857190
1727623667,0,10538899652,20857190
1727623667,0,8073371008,20857190
1727623667,0,363192541141,20857190
1727623667,0,8073371008,20857190
1727623667,0,8073371008,20857190
1727623679,0,13619868996,20857191
1727623679,0,762303468851,20857191
1727623739,0,8721063675,20857196
1727623739,0,13843481703,20857196
1727623751,0,11090607755,20857197
1727623763,0,11175963133,20857198
1727623847,0,9730270595,20857205
1727623847,0,10580270595,20857205
1727623859,0,11101141546,20857206
1727623871,0,37241986735,20857207
1727623883,0,9131030932,20857208
1727623967,0,9571275037,20857215
1727623967,0,10671275037,20857215
1727624003,0,8243104718,20857218
1727624051,0,7764789804,20857222
1727624063,0,7705539704,20857223
1727624063,0,53432587758,20857223
1727624099,0,8779822143,20857226
